Verbatim,sentiment
Alt yapı çok yetersiz telefon hattım çoğu yerde çekmiyor,negative
Evimde sadece 1 tek odada çekiyor onuda cama yapışarak görüşme yapıyorum  Sizi aradığımda   o bölgede şebeke sıkıntısı görünmüyor  diyip konuşmayı bitirdiniz,negative
Çekim gücü çok zayıf internet de,negative
Hızınız çok yetersiz Tarifelerde İnternet paketleri çok az,negative
Bulunduğum yerde internet kalitesi E olarak görünüyor ve arayanlar ulaşamıyor Kalite beklentisiyleTürk Telekomden geçiş yaptım fakat ilk üç ay dolmasını bekliyorum Başka operatör kullanmayı düşünüyorum,negative
neredeyse Turkcell her yerde çekiyor vodafone hiç çekmiyor bu yüzden hattımı değiştireceğim,negative
Biz kütahya Emmet subak köyünde oturuyoruz vodafone hic çekmiyor tepelere  veya köy dışına çıkarsak konuşabiliyoruz  onun için herkes başka hatlara başlıyor,negative
Vericileri sıklastirin trabzon akcaabat bir cok köyünde vodafone birakin interneti telefon çekmiyor aldiginiz paralarin hakkini verin,negative
Alt yapı ve sinyal güçlendirme yapmaları gerek,neutral
Ordu fatsanın tepecik köyünde ikamet ediyorum benim olduğum bölgede vodafone hiç çekmiyor interneti de çekmiyo diğer hatlar çekiyor çok mağdur oluyoruz,negative
Gereksiz yere fazla para harcatıyorsunuz aşırı aşım ücreti koyuyorsunuz faturamızdan fazla para ödemekten ve müşteriye laf cambazlığı yapıp sürekli müşterileri yanlış anlaşmalara yöneltiyorsunuz,negative
Kapsama alanı kesinlikle genişletilmelidir Doğuda bu konuyla ilgili çeşitli mağduriyetler yaşanmaktadır,negative
Türk Telekom dan bile kötü Çok kötü en kötüsü daha ne diyeyim,negative
Bulunduğum bölgede telefonum çekmiyor konuşmak için balkona çıkıyorum,negative
Kirikkale ilçelerinde ve köyde şebekeniz  yetersiz sehir merkezi iyi köyde ayni ortamda Türk Telekom ve Turkcell sebeke iyi sizinki kötü hem konusma hem internet ikisinin de duzelmesi gerekiyor asıl oralarda ınsanın ihtiyaci var,negative
Kapsama alanınız yeterli değil  Şehir merkezlerinde bile zor çekiyor,negative
Baz istasyonu kurulması ya da vericilerin yükseltilmesi,neutral
vodafone şebekesinden memnun değiliz internet bağlantısı yok video açamıyoruz yani çok sıkıntılıdir,negative
Vakfıkebir Mısırlı Mah eskiden köydü şebekeniz çekmiyor İğrençsiniz vodafone En kısa zamanda herkes gibi her iki hattımı da Turkcell e geçireceğim,negative
Çekim gücü yükseltilirse  iyi olur internet normal,neutral
Rezilsiniz kullanmak istemedigim paketi iptal etmediniz cok rezil bir sirketsiniz,negative
6 aydır kullanıyorum belki yüz kere şikayette bulundum hiç bir geri dönüş olmadı Taahhüt bittiği gün başka operatöre kayacağım,negative
Dicle ilçesi üzümlü köyüne ve Kocaköy ilçesi hacı reşit mahallesine yeterli şebeke çekmiyor,negative
Muhtemelen bazı lokasyonlardaki Baz İstasyonlarını güçlendirmek gerekecek,neutral
Bursa güzelyalı da oturuyorum vodafone un çekim gücünden hiç memnun değilim Iylestirilmezse tekrar Türk Telekom a dönmeyi düşünüyorum,negative
Şebeke çok kötü hiç bir TV tarife yok en yakın zamanda Turkcell e geçmeyi düşünüyorum ben vodafone amına koyarım telefonda beş Şebeke var ama yinede çekmiyor ya lanet olası,negative
vodafone İnternet maalesef 4 m ilerdeki odada çekmiyor  Ve ben mobili kullanıyorum  Bilgilerinize,negative
Ankaranın köylerinde telefon çekmiyor  Ankara Güdül Karacaören köyü,negative
Telefonla gorusmelerimde karsi tarafin çal sesi gelmiyor veya sureli telefon gibi kesintiler oluyor Bunlari da iyilestirmenizi tavsiye ediyorum,negative
İnternet video izlerken donmalar yaşıyorum telefonum üst düzey telefon hafızası güçlü olmasına rağmen sorun yasiyorum,negative
Kapsama alanı çok zayıf Muğla merkeze üç km lik uzaklıkta kalıyoruz,negative
Çekmiyor çekim gücü attirmak,negative
İstanbulun ortasında bile telefon internet çekmiyor   Faturamı yükseltiyorlar kullanımlarımı düşürüyorlar  Bence önce bir kapsama alanlarınızı genişletin ve altyapınızı düzeltin  Berbat ötesi,negative
Müşteri memnuniyeti sağlayamıyorsunuz En kısa sürede hattımı taşıyacağım bundan sonra Türk Telekom veya Turkcell kullanacam,negative
Video da surekli duraklama oluyor çekmiyor 2 aydır düzelmedi,negative
Evde çekmiyor dışarı çıkınca sıkıntı yok,neutral
Kırşehir kaman ömerhacili köyünde vodafone çekmiyor  gerekenin yapılmasını isterim,neutral
Boku Dörtdivan ilçesi Adaköy köyünde diğer rakip şebekeler çekerken vodafone maalesef çekmiyor bilginize,negative
